model_1,model_2,diversity_type,rho,concordant_severe_misses,g4_both_miss,g3_both_miss,or_gate_cost,vs_best_solo
densenet121_5class,efficientnet_b3_5class,ARCH,0.5491,6,1,5,3983,-2507
densenet121_5class,densenet121_binary,TASK,0.6801,6,1,5,4095,-2395
densenet121_5class,efficientnet_b3_binary,BOTH,0.5606,6,1,5,4188,-2302
densenet121_binary,retfound_adversarial,ARCH,0.5556,7,1,6,4403,-2087
densenet121_binary,efficientnet_b3_5class,BOTH,0.5574,7,2,5,4485,-2005
densenet121_binary,retfound_5class,BOTH,0.5431,8,1,7,4486,-2004
densenet121_5class,retfound_adversarial,BOTH,0.5655,6,2,4,4496,-1994
densenet121_5class,retfound_5class,ARCH,0.5908,7,2,5,4664,-1826
densenet121_5class,retfound_binary,BOTH,0.5591,7,2,5,4725,-1765
efficientnet_b3_binary,retfound_5class,BOTH,0.5668,9,0,9,4807,-1683
densenet121_binary,retfound_binary,ARCH,0.5426,9,1,8,4835,-1655
densenet121_5class,vit_base_binary,BOTH,0.5903,6,3,3,4873,-1617
efficientnet_b3_binary,retfound_adversarial,ARCH,0.5790,9,0,9,4924,-1566
densenet121_binary,resnet50_5class,BOTH,0.6064,8,2,6,4975,-1515
efficientnet_b3_5class,efficientnet_b3_binary,TASK,0.6368,9,1,8,5053,-1437
densenet121_binary,efficientnet_b3_binary,ARCH,0.5782,9,2,7,5073,-1417
densenet121_5class,resnet50_5class,ARCH,0.5935,8,3,5,5292,-1198
efficientnet_b3_5class,resnet50_binary,BOTH,0.5613,9,2,7,5298,-1192
efficientnet_b3_5class,retfound_5class,ARCH,0.5377,10,2,8,5345,-1145
densenet121_binary,resnet50_binary,ARCH,0.5660,9,3,6,5378,-1112
efficientnet_b3_binary,retfound_binary,ARCH,0.5790,11,0,11,5384,-1106
efficientnet_b3_5class,retfound_adversarial,BOTH,0.5288,10,2,8,5421,-1069
efficientnet_b3_5class,resnet50_5class,ARCH,0.5518,10,2,8,5484,-1006
efficientnet_b3_5class,vit_base_binary,BOTH,0.4849,9,3,6,5490,-1000
densenet121_5class,resnet50_binary,BOTH,0.5865,8,4,4,5548,-942
densenet121_5class,vit_base_5class,ARCH,0.5506,8,4,4,5573,-917
efficientnet_b3_5class,retfound_binary,BOTH,0.5227,11,2,9,5650,-840
densenet121_binary,vit_base_binary,ARCH,0.5363,10,4,6,5836,-654
resnet50_5class,retfound_5class,ARCH,0.6351,10,2,8,5858,-632
efficientnet_b3_5class,vit_base_5class,ARCH,0.4852,11,3,8,5910,-580
resnet50_binary,retfound_5class,BOTH,0.6127,11,2,9,5924,-566
resnet50_5class,retfound_adversarial,BOTH,0.6487,10,2,8,6006,-484
resnet50_binary,retfound_adversarial,ARCH,0.6237,11,2,9,6057,-433
resnet50_5class,retfound_binary,BOTH,0.6484,11,2,9,6233,-257
resnet50_binary,retfound_binary,ARCH,0.6266,12,2,10,6283,-207
densenet121_binary,vit_base_5class,BOTH,0.5271,11,5,6,6390,-100
efficientnet_b3_binary,vit_base_5class,BOTH,0.5368,12,3,9,6414,-76
resnet50_5class,vit_base_5class,ARCH,0.6072,11,3,8,6541,51
resnet50_5class,vit_base_binary,BOTH,0.6420,10,4,6,6611,121
retfound_5class,vit_base_binary,BOTH,0.6588,12,3,9,6693,203
efficientnet_b3_binary,resnet50_5class,BOTH,0.6212,13,4,9,7049,559
efficientnet_b3_binary,vit_base_binary,ARCH,0.5525,13,5,8,7224,734
retfound_5class,vit_base_5class,ARCH,0.6573,15,3,12,7282,792
retfound_adversarial,vit_base_binary,ARCH,0.6975,15,4,11,7799,1309
efficientnet_b3_binary,resnet50_binary,ARCH,0.6023,15,6,9,7979,1489
resnet50_binary,vit_base_5class,BOTH,0.6042,16,5,11,7989,1499
retfound_binary,vit_base_binary,ARCH,0.7060,16,4,12,8087,1597
retfound_adversarial,vit_base_5class,BOTH,0.6833,17,4,13,8223,1733
retfound_binary,vit_base_5class,BOTH,0.6887,18,4,14,8496,2006
retfound_5class,retfound_adversarial,TASK,0.8592,18,4,14,8501,2011
resnet50_binary,vit_base_binary,ARCH,0.6450,16,7,9,8606,2116
resnet50_5class,resnet50_binary,TASK,0.7764,15,7,8,8671,2181
retfound_5class,retfound_binary,TASK,0.8709,19,4,15,8740,2250
retfound_adversarial,retfound_binary,SAME,0.9398,22,6,16,10279,3789
vit_base_5class,vit_base_binary,TASK,0.7832,31,10,21,13093,6603
